"query","column","value"
"08_card_by_year","[Spend]","9389.1"
"08_card_by_year","[Txn]","219"
"08_card_by_year","[Decline]","0.0136986301369863"
"08_card_by_year","Card[Card]","5182"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","11154.61"
"08_card_by_year","[Txn]","188"
"08_card_by_year","[Decline]","0.0425531914893617"
"08_card_by_year","Card[Card]","1338"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","9655.33"
"08_card_by_year","[Txn]","374"
"08_card_by_year","[Decline]","0.00267379679144385"
"08_card_by_year","Card[Card]","4998"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","9132.08"
"08_card_by_year","[Txn]","201"
"08_card_by_year","[Decline]","0.0298507462686567"
"08_card_by_year","Card[Card]","3808"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","6868.47"
"08_card_by_year","[Txn]","357"
"08_card_by_year","[Decline]","0.0112044817927171"
"08_card_by_year","Card[Card]","5893"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","5932.91"
"08_card_by_year","[Txn]","97"
"08_card_by_year","[Decline]","0.0206185567010309"
"08_card_by_year","Card[Card]","5272"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","5132.31"
"08_card_by_year","[Txn]","199"
"08_card_by_year","[Decline]","0.0150753768844221"
"08_card_by_year","Card[Card]","3"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","18805.16"
"08_card_by_year","[Txn]","202"
"08_card_by_year","[Decline]","0.0148514851485149"
"08_card_by_year","Card[Card]","2270"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","21724.43"
"08_card_by_year","[Txn]","265"
"08_card_by_year","[Decline]","0.0264150943396226"
"08_card_by_year","Card[Card]","5069"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","7520.95"
"08_card_by_year","[Txn]","208"
"08_card_by_year","[Decline]","0.0240384615384615"
"08_card_by_year","Card[Card]","2217"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","8262.33"
"08_card_by_year","[Txn]","171"
"08_card_by_year","[Decline]","0.0116959064327485"
"08_card_by_year","Card[Card]","4051"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3668.52"
"08_card_by_year","[Txn]","66"
"08_card_by_year","[Decline]","0.0303030303030303"
"08_card_by_year","Card[Card]","3092"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","20716.18"
"08_card_by_year","[Txn]","637"
"08_card_by_year","[Decline]","0.010989010989011"
"08_card_by_year","Card[Card]","4936"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","2310.63"
"08_card_by_year","[Txn]","102"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","317"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","6051.42"
"08_card_by_year","[Txn]","100"
"08_card_by_year","[Decline]","0.01"
"08_card_by_year","Card[Card]","3829"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4700.71"
"08_card_by_year","[Txn]","80"
"08_card_by_year","[Decline]","0.0125"
"08_card_by_year","Card[Card]","357"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","7628.57"
"08_card_by_year","[Txn]","457"
"08_card_by_year","[Decline]","0.0153172866520788"
"08_card_by_year","Card[Card]","4492"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4123.13"
"08_card_by_year","[Txn]","204"
"08_card_by_year","[Decline]","0.00490196078431373"
"08_card_by_year","Card[Card]","4636"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","59193.1"
"08_card_by_year","[Txn]","527"
"08_card_by_year","[Decline]","0.0189753320683112"
"08_card_by_year","Card[Card]","3772"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3251.23"
"08_card_by_year","[Txn]","124"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","5281"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","8764.83"
"08_card_by_year","[Txn]","474"
"08_card_by_year","[Decline]","0.0126582278481013"
"08_card_by_year","Card[Card]","5350"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","13177.71"
"08_card_by_year","[Txn]","267"
"08_card_by_year","[Decline]","0.00749063670411985"
"08_card_by_year","Card[Card]","4266"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","9896.32"
"08_card_by_year","[Txn]","219"
"08_card_by_year","[Decline]","0.0136986301369863"
"08_card_by_year","Card[Card]","5774"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","23874.9"
"08_card_by_year","[Txn]","262"
"08_card_by_year","[Decline]","0.00763358778625954"
"08_card_by_year","Card[Card]","2240"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","27154.3"
"08_card_by_year","[Txn]","326"
"08_card_by_year","[Decline]","0.00306748466257669"
"08_card_by_year","Card[Card]","5938"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","9122.97"
"08_card_by_year","[Txn]","212"
"08_card_by_year","[Decline]","0.0235849056603774"
"08_card_by_year","Card[Card]","2688"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","7714.43"
"08_card_by_year","[Txn]","267"
"08_card_by_year","[Decline]","0.00749063670411985"
"08_card_by_year","Card[Card]","3803"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","2399.64"
"08_card_by_year","[Txn]","140"
"08_card_by_year","[Decline]","0.0357142857142857"
"08_card_by_year","Card[Card]","4639"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","36653.32"
"08_card_by_year","[Txn]","541"
"08_card_by_year","[Decline]","0.0166358595194085"
"08_card_by_year","Card[Card]","4549"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","17177.1"
"08_card_by_year","[Txn]","369"
"08_card_by_year","[Decline]","0.032520325203252"
"08_card_by_year","Card[Card]","5778"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4264.99"
"08_card_by_year","[Txn]","238"
"08_card_by_year","[Decline]","0.0252100840336134"
"08_card_by_year","Card[Card]","5015"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4060.7"
"08_card_by_year","[Txn]","229"
"08_card_by_year","[Decline]","0.0262008733624454"
"08_card_by_year","Card[Card]","2238"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","10954.08"
"08_card_by_year","[Txn]","265"
"08_card_by_year","[Decline]","0.0150943396226415"
"08_card_by_year","Card[Card]","4538"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","10157.81"
"08_card_by_year","[Txn]","282"
"08_card_by_year","[Decline]","0.0319148936170213"
"08_card_by_year","Card[Card]","2535"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","10373.3"
"08_card_by_year","[Txn]","215"
"08_card_by_year","[Decline]","0.0604651162790698"
"08_card_by_year","Card[Card]","3905"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","12406.48"
"08_card_by_year","[Txn]","168"
"08_card_by_year","[Decline]","0.0297619047619048"
"08_card_by_year","Card[Card]","3727"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","20302.2"
"08_card_by_year","[Txn]","342"
"08_card_by_year","[Decline]","0.0233918128654971"
"08_card_by_year","Card[Card]","2851"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","8675.93"
"08_card_by_year","[Txn]","230"
"08_card_by_year","[Decline]","0.0260869565217391"
"08_card_by_year","Card[Card]","298"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","5983.97"
"08_card_by_year","[Txn]","244"
"08_card_by_year","[Decline]","0.0286885245901639"
"08_card_by_year","Card[Card]","5519"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","26504.26"
"08_card_by_year","[Txn]","426"
"08_card_by_year","[Decline]","0.0446009389671361"
"08_card_by_year","Card[Card]","3296"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","8982.14"
"08_card_by_year","[Txn]","223"
"08_card_by_year","[Decline]","0.0269058295964126"
"08_card_by_year","Card[Card]","5715"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3508.37"
"08_card_by_year","[Txn]","188"
"08_card_by_year","[Decline]","0.00531914893617021"
"08_card_by_year","Card[Card]","3670"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3604.78"
"08_card_by_year","[Txn]","177"
"08_card_by_year","[Decline]","0.00564971751412429"
"08_card_by_year","Card[Card]","2702"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4695.63"
"08_card_by_year","[Txn]","221"
"08_card_by_year","[Decline]","0.0271493212669683"
"08_card_by_year","Card[Card]","4647"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3020.74"
"08_card_by_year","[Txn]","209"
"08_card_by_year","[Decline]","0.00478468899521531"
"08_card_by_year","Card[Card]","5916"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3652.12"
"08_card_by_year","[Txn]","199"
"08_card_by_year","[Decline]","0.0050251256281407"
"08_card_by_year","Card[Card]","3420"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3625.12"
"08_card_by_year","[Txn]","142"
"08_card_by_year","[Decline]","0.0352112676056338"
"08_card_by_year","Card[Card]","3866"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","18318.69"
"08_card_by_year","[Txn]","327"
"08_card_by_year","[Decline]","0.00917431192660551"
"08_card_by_year","Card[Card]","4274"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","2982.03"
"08_card_by_year","[Txn]","111"
"08_card_by_year","[Decline]","0.036036036036036"
"08_card_by_year","Card[Card]","4194"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","15979.18"
"08_card_by_year","[Txn]","206"
"08_card_by_year","[Decline]","0.00970873786407767"
"08_card_by_year","Card[Card]","3616"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","1351.94"
"08_card_by_year","[Txn]","66"
"08_card_by_year","[Decline]","0.0303030303030303"
"08_card_by_year","Card[Card]","4318"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","13694.66"
"08_card_by_year","[Txn]","461"
"08_card_by_year","[Decline]","0.0238611713665944"
"08_card_by_year","Card[Card]","3476"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","2737.01"
"08_card_by_year","[Txn]","132"
"08_card_by_year","[Decline]","0.00757575757575758"
"08_card_by_year","Card[Card]","4807"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3420.6"
"08_card_by_year","[Txn]","105"
"08_card_by_year","[Decline]","0.019047619047619"
"08_card_by_year","Card[Card]","4698"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","6877.27"
"08_card_by_year","[Txn]","164"
"08_card_by_year","[Decline]","0.00609756097560976"
"08_card_by_year","Card[Card]","226"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","9101.17"
"08_card_by_year","[Txn]","319"
"08_card_by_year","[Decline]","0.0156739811912226"
"08_card_by_year","Card[Card]","2114"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","11612.3"
"08_card_by_year","[Txn]","406"
"08_card_by_year","[Decline]","0.00985221674876847"
"08_card_by_year","Card[Card]","5830"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","11194.1"
"08_card_by_year","[Txn]","428"
"08_card_by_year","[Decline]","0.00934579439252336"
"08_card_by_year","Card[Card]","4999"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","10023.52"
"08_card_by_year","[Txn]","224"
"08_card_by_year","[Decline]","0.0223214285714286"
"08_card_by_year","Card[Card]","5723"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","783.84"
"08_card_by_year","[Txn]","39"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","307"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3749.66"
"08_card_by_year","[Txn]","104"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","4361"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3118.13"
"08_card_by_year","[Txn]","117"
"08_card_by_year","[Decline]","0.0170940170940171"
"08_card_by_year","Card[Card]","3835"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","657.21"
"08_card_by_year","[Txn]","17"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","5233"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","2173.22"
"08_card_by_year","[Txn]","47"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","6119"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","533.96"
"08_card_by_year","[Txn]","22"
"08_card_by_year","[Decline]","0.0909090909090909"
"08_card_by_year","Card[Card]","3325"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","677.57"
"08_card_by_year","[Txn]","14"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","190"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","9420.7"
"08_card_by_year","[Txn]","206"
"08_card_by_year","[Decline]","0.0145631067961165"
"08_card_by_year","Card[Card]","3076"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","36225.79"
"08_card_by_year","[Txn]","922"
"08_card_by_year","[Decline]","0.0119305856832972"
"08_card_by_year","Card[Card]","3758"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4012.19"
"08_card_by_year","[Txn]","232"
"08_card_by_year","[Decline]","0.021551724137931"
"08_card_by_year","Card[Card]","96"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","9605.09"
"08_card_by_year","[Txn]","177"
"08_card_by_year","[Decline]","0.0169491525423729"
"08_card_by_year","Card[Card]","149"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","20721.92"
"08_card_by_year","[Txn]","230"
"08_card_by_year","[Decline]","0.0130434782608696"
"08_card_by_year","Card[Card]","4693"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","7043.72"
"08_card_by_year","[Txn]","119"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","3507"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","11311.12"
"08_card_by_year","[Txn]","154"
"08_card_by_year","[Decline]","0.0194805194805195"
"08_card_by_year","Card[Card]","5773"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","16416.96"
"08_card_by_year","[Txn]","381"
"08_card_by_year","[Decline]","0.015748031496063"
"08_card_by_year","Card[Card]","5033"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","11909.13"
"08_card_by_year","[Txn]","451"
"08_card_by_year","[Decline]","0.0177383592017738"
"08_card_by_year","Card[Card]","5929"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","8173.75"
"08_card_by_year","[Txn]","251"
"08_card_by_year","[Decline]","0.0278884462151394"
"08_card_by_year","Card[Card]","4297"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","16217.26"
"08_card_by_year","[Txn]","549"
"08_card_by_year","[Decline]","0.0145719489981785"
"08_card_by_year","Card[Card]","4602"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","8970.74"
"08_card_by_year","[Txn]","175"
"08_card_by_year","[Decline]","0.0228571428571429"
"08_card_by_year","Card[Card]","3921"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","17142.03"
"08_card_by_year","[Txn]","428"
"08_card_by_year","[Decline]","0.0467289719626168"
"08_card_by_year","Card[Card]","4334"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","8671.44"
"08_card_by_year","[Txn]","131"
"08_card_by_year","[Decline]","0.0152671755725191"
"08_card_by_year","Card[Card]","2248"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","5133.89"
"08_card_by_year","[Txn]","121"
"08_card_by_year","[Decline]","0.0413223140495868"
"08_card_by_year","Card[Card]","1146"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","6879.98"
"08_card_by_year","[Txn]","161"
"08_card_by_year","[Decline]","0.0124223602484472"
"08_card_by_year","Card[Card]","1187"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","10638.66"
"08_card_by_year","[Txn]","302"
"08_card_by_year","[Decline]","0.00662251655629139"
"08_card_by_year","Card[Card]","4367"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3188.61"
"08_card_by_year","[Txn]","139"
"08_card_by_year","[Decline]","0.0431654676258993"
"08_card_by_year","Card[Card]","191"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","14866.56"
"08_card_by_year","[Txn]","158"
"08_card_by_year","[Decline]","0.00632911392405063"
"08_card_by_year","Card[Card]","6045"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","30192.28"
"08_card_by_year","[Txn]","730"
"08_card_by_year","[Decline]","0.0150684931506849"
"08_card_by_year","Card[Card]","2481"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","3583.99"
"08_card_by_year","[Txn]","126"
"08_card_by_year","[Decline]","0.00793650793650794"
"08_card_by_year","Card[Card]","5939"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","12466.05"
"08_card_by_year","[Txn]","197"
"08_card_by_year","[Decline]","0.0304568527918782"
"08_card_by_year","Card[Card]","2624"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","11844.18"
"08_card_by_year","[Txn]","330"
"08_card_by_year","[Decline]","0.00303030303030303"
"08_card_by_year","Card[Card]","4369"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","10275.44"
"08_card_by_year","[Txn]","227"
"08_card_by_year","[Decline]","0.0308370044052863"
"08_card_by_year","Card[Card]","2691"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","5618.69"
"08_card_by_year","[Txn]","190"
"08_card_by_year","[Decline]","0.0157894736842105"
"08_card_by_year","Card[Card]","3500"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","70755.73"
"08_card_by_year","[Txn]","569"
"08_card_by_year","[Decline]","0.0175746924428823"
"08_card_by_year","Card[Card]","2959"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","17484.42"
"08_card_by_year","[Txn]","248"
"08_card_by_year","[Decline]","0.0241935483870968"
"08_card_by_year","Card[Card]","5078"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","6374.51"
"08_card_by_year","[Txn]","253"
"08_card_by_year","[Decline]","0.00790513833992095"
"08_card_by_year","Card[Card]","3218"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","4989.54"
"08_card_by_year","[Txn]","145"
"08_card_by_year","[Decline]","0.0206896551724138"
"08_card_by_year","Card[Card]","5413"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","84483.48"
"08_card_by_year","[Txn]","1268"
"08_card_by_year","[Decline]","0.0126182965299685"
"08_card_by_year","Card[Card]","3475"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","11896.88"
"08_card_by_year","[Txn]","316"
"08_card_by_year","[Decline]","0.0158227848101266"
"08_card_by_year","Card[Card]","4231"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","10870.02"
"08_card_by_year","[Txn]","376"
"08_card_by_year","[Decline]","0.0186170212765957"
"08_card_by_year","Card[Card]","4458"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","6966.23"
"08_card_by_year","[Txn]","318"
"08_card_by_year","[Decline]","0.00628930817610063"
"08_card_by_year","Card[Card]","2891"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","9254.92"
"08_card_by_year","[Txn]","210"
"08_card_by_year","[Decline]","0.0238095238095238"
"08_card_by_year","Card[Card]","4525"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","10696.46"
"08_card_by_year","[Txn]","186"
"08_card_by_year","[Decline]","0.032258064516129"
"08_card_by_year","Card[Card]","5837"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","24366.76"
"08_card_by_year","[Txn]","407"
"08_card_by_year","[Decline]","0.0147420147420147"
"08_card_by_year","Card[Card]","1279"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","9688.31"
"08_card_by_year","[Txn]","348"
"08_card_by_year","[Decline]","0.00862068965517241"
"08_card_by_year","Card[Card]","2718"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","11336.19"
"08_card_by_year","[Txn]","194"
"08_card_by_year","[Decline]","0.0309278350515464"
"08_card_by_year","Card[Card]","4045"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","2656.11"
"08_card_by_year","[Txn]","147"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","5314"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","930.18"
"08_card_by_year","[Txn]","62"
"08_card_by_year","[Decline]","0.032258064516129"
"08_card_by_year","Card[Card]","5022"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","10119.6"
"08_card_by_year","[Txn]","203"
"08_card_by_year","[Decline]","0.0246305418719212"
"08_card_by_year","Card[Card]","2065"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","5602.53"
"08_card_by_year","[Txn]","141"
"08_card_by_year","[Decline]","0.0141843971631206"
"08_card_by_year","Card[Card]","3483"
"08_card_by_year","Date[Year]","2016"
"08_card_by_year","[Spend]","11946.76"
"08_card_by_year","[Txn]","317"
"08_card_by_year","[Decline]","0.0220820189274448"
"08_card_by_year","Card[Card]","991"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","8598.36"
"08_card_by_year","[Txn]","422"
"08_card_by_year","[Decline]","0.0165876777251185"
"08_card_by_year","Card[Card]","3324"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","5975.91"
"08_card_by_year","[Txn]","378"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","2432"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","5959.78"
"08_card_by_year","[Txn]","383"
"08_card_by_year","[Decline]","0.0182767624020888"
"08_card_by_year","Card[Card]","4117"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","13736.44"
"08_card_by_year","[Txn]","207"
"08_card_by_year","[Decline]","0.0338164251207729"
"08_card_by_year","Card[Card]","3414"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","10873.71"
"08_card_by_year","[Txn]","200"
"08_card_by_year","[Decline]","0.005"
"08_card_by_year","Card[Card]","4540"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","12059.69"
"08_card_by_year","[Txn]","431"
"08_card_by_year","[Decline]","0.00464037122969838"
"08_card_by_year","Card[Card]","5022"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","13760.03"
"08_card_by_year","[Txn]","229"
"08_card_by_year","[Decline]","0.0131004366812227"
"08_card_by_year","Card[Card]","2532"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","13041.64"
"08_card_by_year","[Txn]","452"
"08_card_by_year","[Decline]","0.0132743362831858"
"08_card_by_year","Card[Card]","170"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","21095.51"
"08_card_by_year","[Txn]","444"
"08_card_by_year","[Decline]","0.00900900900900901"
"08_card_by_year","Card[Card]","2870"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","2461.96"
"08_card_by_year","[Txn]","264"
"08_card_by_year","[Decline]","0.0227272727272727"
"08_card_by_year","Card[Card]","3908"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","20507.1"
"08_card_by_year","[Txn]","530"
"08_card_by_year","[Decline]","0.0132075471698113"
"08_card_by_year","Card[Card]","4693"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","18441.62"
"08_card_by_year","[Txn]","443"
"08_card_by_year","[Decline]","0.0090293453724605"
"08_card_by_year","Card[Card]","5856"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","13676.62"
"08_card_by_year","[Txn]","289"
"08_card_by_year","[Decline]","0.013840830449827"
"08_card_by_year","Card[Card]","4561"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","13069"
"08_card_by_year","[Txn]","410"
"08_card_by_year","[Decline]","0.0146341463414634"
"08_card_by_year","Card[Card]","4715"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","48699.44"
"08_card_by_year","[Txn]","1308"
"08_card_by_year","[Decline]","0.0275229357798165"
"08_card_by_year","Card[Card]","48"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","15974.07"
"08_card_by_year","[Txn]","164"
"08_card_by_year","[Decline]","0.0304878048780488"
"08_card_by_year","Card[Card]","3411"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","12874.69"
"08_card_by_year","[Txn]","442"
"08_card_by_year","[Decline]","0.0113122171945701"
"08_card_by_year","Card[Card]","3252"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","11958.55"
"08_card_by_year","[Txn]","320"
"08_card_by_year","[Decline]","0.015625"
"08_card_by_year","Card[Card]","1122"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","59769.96"
"08_card_by_year","[Txn]","1028"
"08_card_by_year","[Decline]","0.00875486381322957"
"08_card_by_year","Card[Card]","2828"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","28511.96"
"08_card_by_year","[Txn]","347"
"08_card_by_year","[Decline]","0.00864553314121038"
"08_card_by_year","Card[Card]","4957"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","20905.54"
"08_card_by_year","[Txn]","399"
"08_card_by_year","[Decline]","0.0075187969924812"
"08_card_by_year","Card[Card]","5550"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","30672.94"
"08_card_by_year","[Txn]","328"
"08_card_by_year","[Decline]",
"08_card_by_year","Card[Card]","2891"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","9511.73"
"08_card_by_year","[Txn]","217"
"08_card_by_year","[Decline]","0.0506912442396313"
"08_card_by_year","Card[Card]","3370"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","7057.32"
"08_card_by_year","[Txn]","198"
"08_card_by_year","[Decline]","0.00505050505050505"
"08_card_by_year","Card[Card]","2065"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","6923.96"
"08_card_by_year","[Txn]","205"
"08_card_by_year","[Decline]","0.024390243902439"
"08_card_by_year","Card[Card]","983"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","11068.42"
"08_card_by_year","[Txn]","458"
"08_card_by_year","[Decline]","0.0458515283842795"
"08_card_by_year","Card[Card]","2826"
"08_card_by_year","Date[Year]","2010"
"08_card_by_year","[Spend]","12123.39"
"08_card_by_year","[Txn]","261"
"08_card_by_year","[Decline]","0.0191570881226054"
"08_card_by_year","Card[Card]","4647"
